Name,Price,URL
100% Dark Hot Chocolate Flakes,£9.95,/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,£9.95,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,£9.95,/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,£9.95,/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,£9.95,/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,£9.95,/products/70-dark-hot-chocolate-flakes
Almost Perfect,£9.95,/products/almost-perfect
Assorted Chocolate Malt Balls,£9.95,/products/assorted-chocolate-malt-balls
Blonde Caramel,£9.95,/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb,£9.95,/products/blonde-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,£9.95,/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,£9.95,/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,£9.95,/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,£9.95,/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,£9.95,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,£9.95,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,£9.95,/products/caramelised-milk-chocolate-bar
Chocolate Caramelised Pecan Nuts,£9.95,/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,£9.95,/products/celebration-hamper
Cinnamon Toast,£9.95,/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,£9.95,/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,£9.95,/products/colombian-dark-chocolate-bar
Crunchy Biscuit,£9.95,/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,£9.95,/products/dark-chocolate-ginger
Dark Chocolate Honeycomb,£9.00,/products/dark-chocolate-honeycomb-1
Dark Chocolate Honeycomb - Bag,£9.00,/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,£9.00,/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,£9.00,/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,£9.00,/products/dark-chocolate-truffles
Ecudorian 41%,£9.00,/products/ecuadorian-41-milk-chocolate-bar
Father's Day Mystery Hamper,£9.00,/products/mystery-box
Flat White Coffee,£9.00,/products/flat-white-coffee
Gift Voucher,£9.00,/products/gift-voucher
Ginger Biscuit,£9.00,/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,£9.00,/products/honeycomb-crunch
Hot Chocolate Shaker,£9.00,/products/hot-chocolate-shaker-new
July Box of the Month,£9.00,/products/box-of-the-month
Luxury Chocolate Hamper,£9.00,/products/luxury-chocolate-hamper
Luxury Chocolate Hamper with bottle of Champagne,£9.00,/products/copy-of-luxury-chocolate-hamper
Luxury Hot Chocolate Hamper,£9.00,/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,£9.00,/products/marc-de-champagne-truffles
Marmalade,£9.00,/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb,£9.00,/products/milk-chocolate-honeycomb-2
Milk Chocolate Honeycomb - Bag,£9.00,/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,£9.00,/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,£9.00,/products/milk-chocolate-truffles
Mixed Chocolate Mini Eggs,£9.00,/products/mixed-milk-chocolate-mini-eggs
Mystery Box,£9.00,/products/mothers-day-mystery-hamper
Oat M!lk Hot Chocolate Flakes,£9.95,/products/oat-m-lk-hot-chocolate-flakes
Orange Dark Hot Chocolate Flakes,£9.95,/products/orange-dark-hot-chocolate-flakes
Orange Malt Balls,£9.95,/products/orange-malt-balls
Peppermint Malt Balls,£9.95,/products/peppermint-malt-balls
Peppermint Swirl,£9.95,/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,£9.95,/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,£9.95,/products/praline-quail-eggs
Pretzel Caramel,£9.95,/products/pretzel-caramel-chocolate-bar
Roasted Almonds,£9.95,/products/cocoa-dusted-almonds
Salt Caramel Malt Balls,£9.95,/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,£9.95,/products/salt-caramelised-hazelnuts
Salted Caramel,£9.95,/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,£9.95,/products/salted-caramel-florentines
Salted Caramel Quail Eggs,£9.95,/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,£9.95,/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,£9.95,/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,£9.95,/products/salt-caramels-milk-chocolate
Valrhona Araguani - 72%,£9.95,/products/valrhona-araguani-72
Valrhona Bahibe 46%,£9.95,/products/valrhona-bahibe
Valrhona Biskelia 34%,£9.95,/products/valrhona-biskelia-34
Valrhona Caraibe 66%,£9.95,/products/valrhona-caraibe-66
Valrhona Caramelia 36%,£9.95,/products/valrhona-caramelia-36
Valrhona Dulcey 32%,£9.95,/products/valrhona-dulcey-32
Valrhona Guanaja 70%,£9.95,/products/valrhona-guanaja-70
Valrhona Jivara 40%,£75.00,/products/valrhona-jivara-40
Valrhona Manjari 64%,£75.00,/products/valrhona-manjari-64
Valrhona Opalys 33%,£75.00,/products/valrhona-opalys-33
Velvet White,£75.00,/products/velvet-white-chocolate-bar
